Log Parser Key||ECS field||ECS type
paddr||deprecated.paddr||string
parent_pid||deprecated.parent.pid||integer
privilege||deprecated.privilege||string
processing_time||deprecated.process.time||string
risk_info||deprecated.risk.info||string
risk_suspicious||deprecated.risk.suspicious||string
risk_warning||deprecated.risk.warning||string
c_domain||deprecated.sdomain||string
sdomain||deprecated.sdomain||string
d_sslver||deprecated.ssl.ver.dst||string
s_sslver||deprecated.ssl.ver.src||string
stransaddr||deprecated.stransaddr||string
stransport||deprecated.stransport||integer
administrator||deprecated.username||string
logon_id||deprecated.username||string
owner||deprecated.username||string
service_account||deprecated.username||string
uid||deprecated.username||string
audit_class||deprecated.audit.class||string
binary||deprecated.binary||string
cert_hostname||deprecated.cert.host.name||string
data||deprecated.data||string
dead||deprecated.dead||integer
device.type.id||deprecated.device.type.id||integer
entry||deprecated.entry||string
event_name||deprecated.event.name||string
h_code||deprecated.hcode||string
inode||deprecated.inode||integer
level||deprecated.level||integer
nodename||deprecated.node.name||string
obj_id||deprecated.obj.id||string
obj_server||deprecated.obj.server||string
obj_value||deprecated.obj.val||string
parent_pid_val||deprecated.parent.pid.val||string
resource||deprecated.resource.name||string
resource_class||deprecated.resource.class||string
site||deprecated.site.name||string
stamp||deprecated.stamp||string
statement||deprecated.statement||string
trans_from||deprecated.trans.from||string
trans_to||deprecated.trans.to||string
url_raw||deprecated.url.raw||string
dir.path||deprecated.dir.path.name||string
dir.path.src||deprecated.dir.path.src||string
dir.path.dst||deprecated.dir.path.dst||string
